-274.1,92.7,65.6
-274.5,93.2,65.4
-274.9,93.9,65.2
-275.1,94.5,65.1
-275.4,95.2,64.9
-275.6,96,64.7
-275.8,96.8,64.5
-275.8,97.7,64.3
-275.9,98.6,64
-275.9,99.4,63.9
-275.9,100.3,63.7
-275.8,101.2,63.6
-275.6,102,63.5
-275.6,102.7,63.3
-275.5,103.7,63.1
-275.3,104.6,62.9
-275.2,105.5,62.7
-275,106.5,62.5
-274.6,107.5,62.4
-274.4,108.3,62.2
-274.1,109.3,62
-273.6,110.1,61.9
-273.3,110.8,61.8
-272.9,111.4,61.8
-272.4,111.9,61.8
-272,112.3,61.8
-271.5,112.7,61.7
-271,113.1,61.8
-270.2,113.3,62
-269.6,113.7,62
-268.8,114.1,62.1
-268,114.4,62.2
-267.2,114.8,62.3
-266.3,115,62.4
-265.4,115.2,62.6
-264.6,115.3,62.6
-263.6,115.4,62.9
-262.6,115.5,63.1
-261.8,115.3,63.2
-260.9,115.2,63.4
-260.1,115.1,63.6
-259.1,115,63.8
-258.2,114.8,64
-257.4,114.6,64.1
-256.6,114.4,64.4
-255.7,114.3,64.5
-254.8,114.2,64.7
-254,113.9,64.9
-253.2,113.5,65.1
-252.6,113.1,65.3
-251.9,112.7,65.5
-251.3,112.2,65.6
-250.7,111.7,65.8
-250.1,111.1,66.1
-249.6,110.4,66.4
-249.1,109.7,66.6
-248.6,109,66.8
-248.1,108.3,67
-247.7,107.5,67.2
-247.3,106.8,67.4
-246.9,106,67.6
-246.5,105.3,67.8
-246,104.6,68
-245.5,103.8,68.2
-245,103,68.5
-244.6,102.2,68.7
-244.1,101.3,68.8
-243.7,100.5,69
-243.2,99.6,69.1
-242.8,98.6,69.2
-242.3,97.8,69.5
-241.8,96.8,69.7
-241.3,95.8,69.8
-240.9,94.8,70
-240.4,93.9,70.2
-240.1,92.9,70.3
-239.6,91.9,70.4
-239.3,90.9,70.5
-238.9,89.9,70.6
-238.6,88.8,70.7
-238.3,87.7,70.8
-237.8,86.6,71
-237.4,85.5,71
-237.1,84.4,71
-236.7,83.3,71.1
-236.4,82.2,71.1
-236,81.2,71.1
-235.7,80.2,71.2
-235.4,79.1,71.1
-235.1,78,71.1
-234.9,76.9,71.2
-234.6,75.8,71.2
-234.5,74.7,71.1
-234.3,73.6,71.1
-234.3,72.5,71
-234.3,71.4,70.9
-234.4,70.3,70.7
-234.5,69.2,70.7
-234.7,68.1,70.7
-235,67,70.6
-235.3,65.9,70.6
-235.8,65,70.4
-236.3,64,70.3
-236.7,63.1,70.3
-237.3,62.3,70.2
-237.9,61.5,70.1
-238.5,60.8,70
-239.2,60.1,69.9
-240.1,59.5,69.7
-240.9,58.9,69.7
-242,58.2,69.5
-243,57.5,69.5
-244.2,56.9,69.3
-245.4,56.3,69.2
-246.7,55.7,68.9
-248.1,55.2,68.8
-249.5,54.6,68.6
-250.9,54.2,68.3
-252.3,53.8,68.1
-253.8,53.4,67.8
-255.2,53.1,67.6
-256.7,52.8,67.3
-258.1,52.5,67.1
-259.5,52.4,66.8
-261,52.2,66.5
-262.3,52.1,66.2
-263.7,52,65.9
-265.1,52.1,65.5
-266.4,52.1,65.3
-267.6,52.3,65.1
-268.7,52.5,64.9
-270,52.8,64.6
-271.2,53.2,64.2
-272.4,53.6,64
-273.5,54,63.8
-274.6,54.5,63.5
-275.8,55.1,63.2
-276.8,55.6,63.1
-277.8,56.2,62.8
-279,56.7,62.5
-280,57.3,62.3
-281.1,57.9,62
-282.3,58.6,61.6
-283.5,59.3,61.2
-284.6,60,60.9
-285.7,60.8,60.6
-286.8,61.6,60.2
-287.8,62.5,59.9
-288.8,63.4,59.6
-289.7,64.3,59.3
-290.7,65.3,59
-291.7,66.4,58.6
-292.6,67.4,58.2
-293.6,68.5,57.8
-294.4,69.5,57.5
-295.2,70.7,57.2
-296,71.8,56.8
-296.6,73,56.6
-297.2,74.2,56.3
-297.9,75.4,55.9
-298.3,76.8,55.7
-298.7,78.1,55.5
-299.1,79.4,55.3
-299.3,80.8,55.1
-299.3,82.2,55.2
-299.2,83.6,55.1
-299.1,85.1,55
-299,86.7,55
-298.7,88.2,55
-298.3,89.7,55.1
-297.7,91.4,55.3
-297.1,92.9,55.4
-296.3,94.5,55.5
-295.4,96.2,55.8
-294.5,97.7,56
-293.4,99.3,56.3
-292.2,100.9,56.6
-291.1,102.3,56.7
-289.8,103.7,57.1
-288.6,105,57.2
-287.3,106.2,57.6
-286,107.2,57.9
-284.6,108.2,58.2
-283.2,109.2,58.5
-281.8,109.9,58.8
-280.3,110.5,59.2
-278.9,111.1,59.6
-277.3,111.5,60.1
-275.7,111.9,60.5
-274.3,112.2,60.8
-272.7,112.4,61.2
